time,distance
8.0937,4.94066e-323
8.25527,1.41421
8.41658,5.65685
8.57783,9.89949
8.73926,14.1421
8.90081,18.3848
9.06241,22.6274
9.22445,26.8701
9.38612,33.2732
9.54804,34.6874
9.70946,36.1016
9.87103,37.5158
10.0327,38.93
10.1941,40.3442
10.3556,41.7585
10.5169,43.1727
10.6783,44.5869
10.8399,46.0011
11.0014,47.4153
11.1625,48.8295
11.3239,50.2437
11.4862,51.658
11.6477,53.0722
11.8101,54.4864
11.9715,55.9006
12.133,57.3148
12.2958,58.729
12.457,60.1432
12.6183,61.5575
12.7797,64.3859
12.9411,67.2143
13.1028,70.0427
13.2648,72.8712
13.4261,75.6996
13.588,78.528
13.7497,81.3564
13.9115,84.1849
14.0743,87.0133
14.2359,89.8417
14.3979,92.6702
14.5599,95.4986
14.7211,98.327
14.8839,101.155
15.0469,103.984
15.2094,106.812
15.3708,109.641
15.5336,112.469
15.6953,115.298
15.8572,118.126
19.0395,118.126
19.201,123.126
19.3625,128.126
19.5241,133.126
19.6856,138.126
19.8471,143.126
20.0086,148.126
20.1698,153.126
20.3313,158.126
20.4931,163.126
20.6545,168.126
20.8158,173.126
20.9776,178.225
21.1396,183.882
21.302,188.981
21.4643,190.981
21.6273,195.981
21.7889,200.981
21.9501,206.08
22.1117,209.242
22.2729,212.404
22.4344,215.567
22.596,219.69
22.7575,223.813
22.9188,227.936
23.0804,232.059
23.2418,236.182
